DATE,affordability
1970-02-28,6.6703570440077495
1970-03-31,6.6336361134049
1970-04-30,6.565382528486164
1970-05-31,6.985593911388964
1970-06-30,6.446370530877573
1970-07-31,6.100159829515184
1970-08-31,6.231768761601697
1970-09-30,5.980418100026462
1970-10-31,5.845014546416292
1970-11-30,6.207078711040676
1970-12-31,5.843815513626835
1971-01-31,6.161381799432844
1971-02-28,6.294964028776978
1971-03-31,6.208482370975983
1971-04-30,6.559877955758963
1971-05-31,6.436143361938415
1971-06-30,6.428571428571429
1971-07-31,6.28428927680798
1971-08-31,6.276358223765815
1971-09-30,6.260783830416564
1971-10-31,6.286836935166994
1971-11-30,6.2897699461576115
1971-12-31,6.14226754066521
1972-01-31,6.006809338521401
1972-02-29,6.385542168674699
1972-03-31,6.570743405275779
1972-04-30,6.399808245445829
1972-05-31,6.416349809885932
1972-06-30,6.34319526627219
1972-07-31,6.4916803374736345
1972-08-31,6.512166859791425
1972-09-30,6.4412238325281805
1972-10-31,6.4841821853264525
1972-11-30,6.442328979411114
1972-12-31,6.530343007915567
1973-01-31,6.59316427783903
1973-02-28,6.470588235294118
1973-03-31,6.773080241587576
1973-04-30,7.019045580997218
1973-05-31,6.8070623271644335
1973-06-30,6.986070071760237
1973-07-31,7.180348519840437
1973-08-31,6.919549812421843
1973-09-30,6.863758528013231
1973-10-31,6.790375203915171
1973-11-30,6.871463217461601
1973-12-31,7.187437084759412
1974-01-31,6.874371859296482
1974-02-28,6.992586655980765
1974-03-31,7.18562874251497
1974-04-30,7.086145295752282
1974-05-31,7.028942705256941
1974-06-30,6.8729195222243975
1974-07-31,7.131782945736434
1974-08-31,6.862745098039215
1974-09-30,6.9004956157072055
1974-10-31,7.02416918429003
1974-11-30,7.033754478597021
1974-12-31,7.001123174840884
1975-01-31,6.929955290611028
1975-02-28,7.022419862886789
1975-03-31,7.163958641063515
1975-04-30,7.0886075949367084
1975-05-31,6.73257201295381
1975-06-30,6.650289524477978
1975-07-31,6.827025114962858
1975-08-31,6.690017513134851
1975-09-30,6.907951974943448
1975-10-31,7.017241379310345
1975-11-30,7.052161976664379
1975-12-31,7.181849198225861
1976-01-31,7.029401824940859
1976-02-29,7.16563181741903
1976-03-31,7.2885322634570375
1976-04-30,7.217869644940824
1976-05-31,7.238917482981902
1976-06-30,7.619834710743802
1976-07-31,7.29831451480936
1976-08-31,7.185823443342546
1976-09-30,7.231839508170199
1976-10-31,7.309988704211715
1976-11-30,7.297641810070108
1976-12-31,7.251184834123222
1977-01-31,7.166482910694597
1977-02-28,7.478699905332912
1977-03-31,7.158351409978308
1977-04-30,7.49692118226601
1977-05-31,7.555555555555555
1977-06-30,7.397842928755886
1977-07-31,7.303877366997295
1977-08-31,7.307979120059657
1977-09-30,7.174556213017752
1977-10-31,7.5212174422007605
1977-11-30,7.483386304536261
1977-12-31,7.551225103883078
1978-01-31,7.488545246277205
1978-02-28,7.542889550545867
1978-03-31,7.43847874720358
1978-04-30,7.377162629757786
1978-05-31,7.665840902835122
1978-06-30,7.759682496236485
1978-07-31,7.4284939677375625
1978-08-31,7.54235009411132
1978-09-30,7.666577468557667
1978-10-31,7.724923810785743
1978-11-30,7.733860342555995
1978-12-31,7.822907143789996
1979-01-31,7.785668173014848
1979-02-28,7.8341013824884795
1979-03-31,7.657200811359027
1979-04-30,7.9260572296784
1979-05-31,7.913306451612903
1979-06-30,8.052176094318325
1979-07-31,7.893108994185328
1979-08-31,7.854688267059401
1979-09-30,8.04583688894307
1979-10-31,7.54511323725324
1979-11-30,7.671989434505943
1979-12-31,7.314462416745957
1980-01-31,7.359307359307359
1980-02-29,7.5588166783135335
1980-03-31,7.254606559276857
1980-04-30,7.289741219963031
1980-05-31,7.267073592076471
1980-06-30,7.418838591678098
1980-07-31,7.203151378728194
1980-08-31,7.075892857142857
1980-09-30,7.528659611992945
1980-10-31,7.123466174394614
1980-11-30,7.178990420837369
1980-12-31,7.136770345121431
1981-01-31,7.1640525646460365
1981-02-28,6.971356360572873
1981-03-31,6.960968482571488
1981-04-30,7.1637122002085505
1981-05-31,7.3413521360431355
1981-06-30,7.073095507350674
1981-07-31,6.998288188500655
1981-08-31,7.2505742534704885
1981-09-30,6.549870595261796
1981-10-31,6.893819334389858
1981-11-30,7.016160819865983
1981-12-31,6.732946156117728
1982-01-31,6.474327628361858
1982-02-28,6.3929162206869705
1982-03-31,6.528074606566932
1982-04-30,6.754546329260079
1982-05-31,6.661539940401807
1982-06-30,6.65514261019879
1982-07-31,6.714015151515151
1982-08-31,6.613831493537126
1982-09-30,6.387789711701526
1982-10-31,6.54398648014271
1982-11-30,6.858902575587906
1982-12-31,6.654292343387471
1983-01-31,6.772321017230259
1983-02-28,6.790577843209422
1983-03-31,6.635548233571297
1983-04-30,6.795851528384279
1983-05-31,6.750634287785429
1983-06-30,6.8430080346664255
1983-07-31,6.671990062993523
1983-08-31,6.803082646824342
1983-09-30,7.104639943864573
1983-10-31,6.591974986972382
1983-11-30,6.530155725716252
1983-12-31,6.47169167803547
1984-01-31,6.442884924325695
1984-02-29,6.6159886392114275
1984-03-31,6.488991888760139
1984-04-30,6.522986150946489
1984-05-31,6.656308774225202
1984-06-30,6.5325002028726775
1984-07-31,6.52226622484442
1984-08-31,6.567881457749299
1984-09-30,6.463152873837348
1984-10-31,6.381961596685523
1984-11-30,6.540351989852545
1984-12-31,6.1566284006919325
1985-01-31,6.460454189506656
1985-02-28,6.455168070534519
1985-03-31,6.637237900047296
1985-04-30,6.632573996590733
1985-05-31,6.0493920398761425
