Date,sp500_Adj Close,sp500_Volume,sp500_Volatility,sp500_pct_change,sp500_label
1970-01-31,85.35499954223633,24530000,2.3489161229904907,2.119631585597086,1.0
1970-02-28,87.16421107241982,228380000,2.1905531457459695,1.7073178081166822,1.0
1970-03-31,88.65238117036365,212880000,1.8315218465058014,-3.045727127160135,1.0
1970-04-30,85.95227154818448,223120000,1.9441075088393274,-11.507366113425057,1.0
1970-05-31,76.06142897832962,258220000,3.054450342274652,-0.6281669797301573,1.0
1970-06-30,75.58363619717684,226420000,2.798242177532583,0.17861062138502118,1.0
1970-07-31,75.71863659945402,227740000,2.209183594214429,2.917355595156001,1.0
1970-08-31,77.92761848086403,218690000,2.0622890761556616,5.7055407914074925,1.0
1970-09-30,82.37381054106213,303290000,2.059022616539339,2.4233302042031326,1.0
1970-10-31,84.36999997225675,261370000,1.7907434838047944,-0.0936351636144624,1.0
1970-11-30,84.2909999847412,230290000,1.7283903385228818,6.835519983236551,1.0
1970-12-31,90.05272813276811,335240000,1.7668017644898046,3.8186205238721,1.0
1971-01-31,93.49150009155274,348490000,1.7365200345738956,3.8726568976887634,1.0
1971-02-28,97.11210511860095,371190000,1.72269555001845,2.563222479624141,1.0
1971-03-31,99.60130442743716,389880000,1.5055986196906224,3.4620219907770777,0.0
1971-04-30,103.04952348981585,401580000,1.6109562303076035,-1.3653854350710513,0.0
1971-05-31,101.64250030517579,307360000,1.5821780383312545,-1.9442036451294682,0.0
1971-06-30,99.66636310924183,303590000,1.6194238951563744,-0.6929608984485555,0.0
1971-07-31,98.97571418398903,265240000,1.6059487367004073,-1.753217205286562,0.0
1971-08-31,97.24045493386008,320520000,1.8153554620126453,2.2169118459595687,0.0
1971-09-30,99.3961900983538,252720000,1.4505621037827485,-2.1151525254252883,0.0
1971-10-31,97.29380907331195,280080000,1.5502689898609516,-4.639847539516063,0.0
1971-11-30,92.77952466692243,276410000,1.8947388246635066,6.886827641985451,0.0
1971-12-31,99.16909061778675,377680000,0.5453697798260435,4.164080019188498,0.0
1972-01-31,103.29857090541294,379490000,1.608681826451479,1.8823384743776852,0.0
1972-02-29,105.24299964904785,376260000,1.504058764081859,2.3255269442717097,0.0
1972-03-31,107.69045396284623,403650000,1.54082489298826,1.0405253561706007,0.0
1972-04-30,108.81100044250488,367990000,1.490866168732752,-1.0711656275805166,-1.0
1972-05-31,107.64545440673828,335850000,1.5254598007074003,0.33907668475777725,-1.0
1972-06-30,108.0104550448331,314510000,1.4585486544421256,-0.7438682269109064,-1.0
1972-07-31,107.20699958801269,288900000,1.6012254348198671,3.5449106072870697,-1.0
1972-08-31,111.00739188816236,356930000,1.5995028381407157,-1.4574621297352972,-1.0
1972-09-30,109.38950119018554,246190000,1.4400885562283428,0.15835702312594585,-1.0
1972-10-31,109.56272714788264,317300000,1.6140236664997656,5.0056006595340845,-1.0
1972-11-30,115.04699974060058,405570000,1.6967074130758906,2.129885113827577,-1.0
1972-12-31,117.49736866198089,344730000,1.4466473866918905,0.7868571890766834,-1.0
1973-01-31,118.42190515427362,393750000,1.7393975666191626,-3.5953598911958253,-1.0
1973-02-28,114.1642114739669,318190000,1.8494092147036445,-1.5317911633323447,-1.0
1973-03-31,112.41545417092063,343400000,1.8320699964255898,-1.9049466110662432,-1.0
1973-04-30,110.27399978637695,277990000,1.831931874928578,-2.7698767685294516,-1.0
1973-05-31,107.21954588456587,337260000,2.21821910421413,-2.2988197087856412,-1.0
1973-06-30,104.75476183210101,268700000,2.0048645960715796,1.0305243791747296,0.0
1973-07-31,105.83428519112724,307780000,2.043054372175881,-1.9225527876892003,0.0
1973-08-31,103.79956519085428,274460000,1.7114880042691423,1.7396010910714694,-1.0
1973-09-30,105.60526355944182,329070000,1.9886673181910768,4.014084816969024,-1.0
1973-10-31,109.8443484099015,422900000,2.1762622465414054,-7.1114183513903795,-1.0
1973-11-30,102.03285725911458,399900000,2.671533897912288,-7.104434236754901,0.0
1973-12-31,94.78400001525878,384380000,2.9702278755667577,1.3989705520854328,0.0
1974-01-31,96.1100002635609,363150000,2.5918227048739184,-2.7643757427118167,0.0
1974-02-28,93.45315872995477,256810000,2.1961504301658574,4.26511916567189,0.0
1974-03-31,97.43904731387184,309600000,2.0259181921034464,-5.113818868869838,0.0
1974-04-30,92.45619092668805,254270000,1.8687256217857995,-3.0164749497029066,0.0
1974-05-31,89.66727308793502,275150000,2.207337826419047,0.13296525350480295,0.0
1974-06-30,89.78649940490723,245340000,2.0912361452578923,-7.759973598016693,0.0
1974-07-31,82.81909075650302,274090000,2.5166400933545234,-8.203531587869573,1.0
1974-08-31,76.02500048550692,280100000,2.851489078410205,-10.393950492982126,1.0
1974-09-30,68.12299957275391,280050000,3.39259302868493,1.9268853863236197,1.0
1974-10-31,69.43565169624661,377100000,3.8043711431646003,3.3143616027096243,1.0
1974-11-30,71.7370002746582,286790000,2.9437513081355355,-6.501062045907459,1.0
1974-12-31,67.07333337692987,315150000,2.731415589673635,8.186200718196485,1.0
1975-01-31,72.56409107555042,432550000,2.9457968105555543,10.380824351713274,1.0
1975-02-28,80.09684191252056,423640000,2.65719297374986,4.663301579482802,1.0
1975-03-31,83.83199920654297,453610000,2.490223268952841,1.0630580047395537,1.0
1975-04-30,84.72318198464133,451350000,2.3236349514122874,6.341839630939715,1.0
1975-05-31,90.09619031633649,457490000,2.280478791719838,2.553885003295186,0.0
1975-06-30,92.3971434093657,447000000,2.001813174123917,0.09754600289413094,0.0
1975-07-31,92.48727312954989,441680000,2.003687570947449,-7.323671115243949,0.0
1975-08-31,85.71380942208427,281470000,1.9524886239868908,-1.2150069040682174,0.0
1975-09-30,84.67238071986607,275120000,2.025469454929803,4.608311509894586,0.0
1975-10-31,88.57434778628142,365540000,2.055617247253249,1.683236397432584,0.0
1975-11-30,90.06526344700863,318810000,1.7601584098885465,-1.5153552911079615,0.0
1975-12-31,88.70045471191406,348970000,1.6953255491028705,9.198452145624833,0.0
1976-01-31,96.8595235915411,635830000,2.1547656078154094,3.9025079149326123,0.0
1976-02-29,100.63947416606702,596130000,1.9351170827704212,0.44204698986596,0.0
1976-03-31,101.08434793223505,529600000,1.7516162721708288,0.8361093826329806,0.0
1976-04-30,101.92952364966983,392260000,1.6474634715891305,-0.752995297082691,0.0
