DATE,FF,Fed_fund_pct
1970-02-28,9.0475,-13.51201989499861
1970-03-31,7.825,2.926517571884962
1970-04-30,8.053999999999998,-0.9808790663024333
1970-05-31,7.9750000000000005,-3.354231974921631
1970-06-30,7.7075000000000005,-6.039571845604936
1970-07-31,7.242,-7.72576636288318
1970-08-31,6.6825,-5.873550317994764
1970-09-30,6.29,-1.192368839427666
1970-10-31,6.215,-8.567980691874494
1970-11-30,5.6825,-11.517817861856571
1970-12-31,5.0280000000000005,-18.208035003977734
1971-01-31,4.1125,-7.112462006079016
1971-02-28,3.8200000000000003,-3.9267015706806254
1971-03-31,3.6700000000000004,13.010899182561294
1971-04-30,4.1475,9.88547317661242
1971-05-31,4.5575,7.5589687328579265
1971-06-30,4.902,7.864137086903295
1971-07-31,5.2875,5.106382978723413
1971-08-31,5.5575,0.04498425551057833
1971-09-30,5.5600000000000005,-6.205035971223032
1971-10-31,5.215,-4.937679769894541
1971-11-30,4.9575,-13.62581946545637
1971-12-31,4.282,-16.80289584306399
1972-01-31,3.5625,-7.017543859649122
1972-02-29,3.3125,11.637735849056616
1972-03-31,3.6980000000000004,12.087614926987538
1972-04-30,4.145,3.208685162846804
1972-05-31,4.278,4.137447405329605
1972-06-30,4.455,2.3007856341189683
1972-07-31,4.5575,4.311574328030726
1972-08-31,4.7540000000000004,2.5452250736222033
1972-09-30,4.875,3.384615384615385
1972-10-31,5.04,0.0
1972-11-30,5.04,5.0595238095238075
1972-12-31,5.295,11.463644948064198
1973-01-31,5.901999999999999,11.529989833954598
1973-02-28,6.5825,7.178123813140906
1973-03-31,7.055,0.602409638554223
1973-04-30,7.0975,9.47516731243396
1973-05-31,7.7700000000000005,8.558558558558559
1973-06-30,8.435,20.124481327800826
1973-07-31,10.1325,3.942758450530469
1973-08-31,10.532,2.47341435624763
1973-09-30,10.7925,-6.3423673847579325
1973-10-31,10.108,-0.9200633161851995
1973-11-30,10.015,-0.37443834248628477
1973-12-31,9.9775,-2.8413931345527446
1974-01-31,9.693999999999999,-7.31380235197027
1974-02-28,8.985000000000001,2.8102392877016995
1974-03-31,9.237499999999999,11.204330175913398
1974-04-30,10.272499999999999,9.827208566561216
1974-05-31,11.282,3.86013118241446
1974-06-30,11.7175,10.637934713036051
1974-07-31,12.963999999999999,-7.088861462511548
1974-08-31,12.045000000000002,-5.251141552511432
1974-09-30,11.4125,-10.431544359255204
1974-10-31,10.222,-7.552338094306401
1974-11-30,9.45,-7.275132275132276
1974-12-31,8.7625,-16.850213980028528
1975-01-31,7.286,-13.601427395004114
1975-02-28,6.295,-11.71564733915806
1975-03-31,5.5575,-0.8187134502923913
1975-04-30,5.5120000000000005,-5.2521770682148095
1975-05-31,5.2225,2.537099090473899
1975-06-30,5.3549999999999995,14.621848739495807
1975-07-31,6.138,-0.008145975887906857
1975-08-31,6.1375,0.936863543788189
1975-09-30,6.195,-4.374495560936223
1975-10-31,5.924000000000001,-11.672856178257954
1975-11-30,5.2325,-0.468227424749159
1975-12-31,5.208,-6.4420122887864935
1976-01-31,4.8725,-2.2575679835813123
1976-02-29,4.7625,1.6692913385826842
1976-03-31,4.8420000000000005,-0.8157786038826994
1976-04-30,4.8025,8.433107756376893
1976-05-31,5.2075000000000005,5.65530484877579
1976-06-30,5.502,-3.5805161759360082
1976-07-31,5.305000000000001,-0.1885014137606159
1976-08-31,5.295,-0.7365439093484363
1976-09-30,5.256,-4.157153729071548
1976-10-31,5.0375,-0.942928039702222
1976-11-30,4.99,-6.132264529058134
1976-12-31,4.683999999999999,-1.846712211784781
1977-01-31,4.5975,1.685698749320295
1977-02-28,4.675000000000001,0.2780748663101393
1977-03-31,4.688,0.1493174061433567
1977-04-30,4.695,13.152289669861547
1977-05-31,5.3125,1.2705882352941158
1977-06-30,5.38,-0.18587360594795144
1977-07-31,5.37,9.683426443202972
1977-08-31,5.89,3.862478777589135
1977-09-30,6.1175,5.476093175316729
1977-10-31,6.452500000000001,0.9221232080588625
1977-11-30,6.511999999999999,0.5451474201474319
1977-12-31,6.547499999999999,2.214585719740366
1978-01-31,6.6925,1.1953679491968765
1978-02-28,6.772500000000001,0.16980435585086515
1978-03-31,6.784000000000001,0.8991745283018859
1978-04-30,6.845000000000001,7.289992695398083
1978-05-31,7.343999999999999,3.0433006535947897
1978-06-30,7.567500000000001,3.270564915758159
1978-07-31,7.8149999999999995,2.392834293026224
1978-08-31,8.001999999999999,5.004998750312435
1978-09-30,8.4025,5.861350788455835
1978-10-31,8.895000000000001,8.532883642495767
1978-11-30,9.654,2.703542573026717
1978-12-31,9.915,2.430660615229465
1979-01-31,10.156,-0.9452540370224506
1979-02-28,10.06,0.3230616302186942
1979-03-31,10.092500000000001,-1.089918256130802
1979-04-30,9.9825,2.519408965689958
1979-05-31,10.234,0.30291186241939205
1979-06-30,10.265,1.5099853872381819
1979-07-31,10.42,4.452975047984649
1979-08-31,10.884,4.051819184123475
1979-09-30,11.325,19.87637969094922
1979-10-31,13.575999999999999,-3.082645845609886
1979-11-30,13.1575,4.408132243967319
1979-12-31,13.7375,0.7461328480436569
1980-01-31,13.839999999999998,1.0296242774566609
1980-02-29,13.9825,19.148936170212767
