DATE,1yr_yield,10yr_yield
1970-01-31,8.15,7.75
1970-02-28,7.580250000000001,7.233000000000001
1970-03-31,6.96181818181818,7.070227272727275
1970-04-30,7.055000000000001,7.390909090909091
1970-05-31,7.7509523809523815,7.906190476190475
1970-06-30,7.548181818181817,7.841818181818184
1970-07-31,7.109130434782609,7.459999999999999
1970-08-31,6.984761904761905,7.5271428571428585
1970-09-30,6.731363636363638,7.393863636363636
1970-10-31,6.429090909090908,7.323181818181817
1970-11-30,5.538333333333334,6.852380952380951
1970-12-31,4.995217391304347,6.397608695652173
1971-01-31,4.584761904761907,6.25
1971-02-28,3.8825000000000003,6.110499999999999
1971-03-31,3.6873913043478255,5.7034782608695656
1971-04-30,4.301590909090909,5.82659090909091
1971-05-31,5.040952380952381,6.3914285714285715
1971-06-30,5.642727272727273,6.5222727272727266
1971-07-31,6.045909090909092,6.7275
1971-08-31,5.80409090909091,6.582727272727274
1971-09-30,5.403636363636364,6.1375
1971-10-31,4.906428571428572,5.92357142857143
1971-11-30,4.6675,5.813863636363635
1971-12-31,4.598260869565217,5.92695652173913
1972-01-31,4.278095238095238,5.947619047619047
1972-02-29,4.268095238095238,6.08
1972-03-31,4.689347826086956,6.071304347826087
1972-04-30,4.964499999999999,6.194499999999999
1972-05-31,4.638913043478261,6.122826086956523
1972-06-30,4.928636363636364,6.1068181818181815
1972-07-31,4.9714285714285715,6.114047619047618
1972-08-31,4.983043478260869,6.2104347826086945
1972-09-30,5.518809523809524,6.54452380952381
1972-10-31,5.5227272727272725,6.479545454545453
1972-11-30,5.272499999999999,6.280227272727273
1972-12-31,5.5219047619047625,6.360238095238096
1973-01-31,5.883043478260868,6.462608695652174
1973-02-28,6.177,6.635249999999999
1973-03-31,6.8500000000000005,6.70909090909091
1973-04-30,6.844047619047619,6.669761904761903
1973-05-31,6.901304347826085,6.850434782608696
1973-06-30,7.307619047619051,6.899999999999999
1973-07-31,8.37340909090909,7.125454545454545
1973-08-31,8.822608695652173,7.404782608695651
1973-09-30,8.31425,7.097499999999999
1973-10-31,7.395217391304348,6.7956521739130435
1973-11-30,7.570000000000001,6.72840909090909
1973-12-31,7.269047619047621,6.749523809523809
1974-01-31,7.417391304347827,6.985652173913043
1974-02-28,6.877250000000001,6.9545
1974-03-31,7.759523809523809,7.2090476190476185
1974-04-30,8.61409090909091,7.508863636363637
1974-05-31,8.763260869565217,7.572391304347828
1974-06-30,8.669500000000001,7.535499999999997
1974-07-31,8.807608695652174,7.800652173913041
1974-08-31,9.362727272727271,8.04409090909091
1974-09-30,8.915238095238095,8.04095238095238
1974-10-31,8.047608695652173,7.895869565217392
1974-11-30,7.668809523809523,7.687142857142853
1974-12-31,7.307500000000001,7.432272727272727
1975-01-31,6.853043478260869,7.497391304347827
1975-02-28,5.984249999999999,7.39025
1975-03-31,6.11452380952381,7.743095238095238
1975-04-30,6.904090909090908,8.226818181818182
1975-05-31,6.383409090909091,8.056818181818182
1975-06-30,6.287142857142857,7.86095238095238
1975-07-31,7.107173913043479,8.061086956521738
1975-08-31,7.701904761904761,8.397619047619049
1975-09-30,7.742272727272726,8.418181818181818
1975-10-31,6.954782608695653,8.139130434782608
1975-11-30,6.477000000000001,8.0455
1975-12-31,6.5854347826086945,7.987608695652173
1976-01-31,5.822727272727272,7.743409090909092
1976-02-29,5.9025,7.795250000000001
1976-03-31,6.211304347826086,7.734347826086955
1976-04-30,5.916818181818181,7.5609090909090915
1976-05-31,6.416904761904762,7.897619047619047
1976-06-30,6.52090909090909,7.861363636363638
1976-07-31,6.209772727272727,7.831818181818181
1976-08-31,6.002727272727273,7.7686363636363645
1976-09-30,5.846136363636362,7.59659090909091
1976-10-31,5.495,7.408809523809523
1976-11-30,5.297954545454545,7.2929545454545455
1976-12-31,4.8919565217391305,6.867826086956522
1977-01-31,5.290952380952382,7.213333333333336
1977-02-28,5.465000000000001,7.39225
1977-03-31,5.5004347826086954,7.459999999999999
1977-04-30,5.4383333333333335,7.3723809523809525
1977-05-31,5.84409090909091,7.4531818181818155
1977-06-30,5.798181818181818,7.2754545454545445
1977-07-31,5.92595238095238,7.329047619047619
1977-08-31,6.3695652173913055,7.396521739130436
1977-09-30,6.517499999999999,7.339090909090907
1977-10-31,6.963095238095238,7.522857142857144
1977-11-30,6.953863636363636,7.576136363636366
1977-12-31,6.96,7.6886363636363635
1978-01-31,7.27,7.949318181818182
1978-02-28,7.3397499999999996,8.0365
1978-03-31,7.310652173913045,8.037173913043478
1978-04-30,7.4545,8.154
1978-05-31,7.830869565217391,8.352173913043478
1978-06-30,8.094545454545456,8.462272727272728
1978-07-31,8.388333333333334,8.638333333333334
1978-08-31,8.312608695652171,8.410869565217391
1978-09-30,8.630476190476191,8.413809523809524
1978-10-31,9.12659090909091,8.639545454545454
1978-11-30,10.018409090909092,8.807727272727275
1978-12-31,10.305238095238096,9.011904761904763
1979-01-31,10.421521739130432,9.102391304347828
1979-02-28,10.234500000000002,9.099749999999998
1979-03-31,10.249545454545455,9.117272727272729
1979-04-30,10.12642857142857,9.182619047619047
1979-05-31,10.094347826086956,9.232391304347825
1979-06-30,9.57380952380952,8.913809523809524
1979-07-31,9.634772727272727,8.9425
1979-08-31,9.98,9.029565217391307
1979-09-30,10.8295,9.331999999999999
1979-10-31,12.414782608695651,10.275869565217393
1979-11-30,12.414772727272727,10.66409090909091
1979-12-31,11.976428571428569,10.389761904761906
1980-01-31,12.045869565217394,10.785434782608695
1980-02-29,13.885714285714284,12.397142857142859
1980-03-31,15.81761904761905,12.749047619047618
