DATE,HTRUCKSSAAR,Heavy_truck_pct
1970-02-28,0.379,-7.3878627968337645
1970-03-31,0.35100000000000003,-1.1396011396011405
1970-04-30,0.34700000000000003,-3.170028818443807
1970-05-31,0.336,6.845238095238085
1970-06-30,0.359,-8.077994428969351
1970-07-31,0.33,3.030303030303033
1970-08-31,0.34,3.235294117647061
1970-09-30,0.35100000000000003,-4.843304843304863
1970-10-31,0.33399999999999996,-12.574850299401193
1970-11-30,0.292,-6.849315068493138
1970-12-31,0.272,11.76470588235293
1971-01-31,0.304,0.9868421052631589
1971-02-28,0.307,0.6514657980456031
1971-03-31,0.309,4.207119741100327
1971-04-30,0.322,-0.6211180124223609
1971-05-31,0.32,5.000000000000004
1971-06-30,0.336,2.976190476190479
1971-07-31,0.34600000000000003,-7.514450867052029
1971-08-31,0.32,14.687500000000012
1971-09-30,0.36700000000000005,1.907356948228869
1971-10-31,0.374,2.6737967914438525
1971-11-30,0.384,-2.8645833333333357
1971-12-31,0.373,10.187667560321726
1972-01-31,0.41100000000000003,0.2433090024330902
1972-02-29,0.41200000000000003,-3.398058252427201
1972-03-31,0.39799999999999996,6.030150753768864
1972-04-30,0.42200000000000004,4.265402843601886
1972-05-31,0.44,-3.4090909090909123
1972-06-30,0.425,6.5882352941176405
1972-07-31,0.45299999999999996,-2.2075055187637993
1972-08-31,0.44299999999999995,-5.1918735891647785
1972-09-30,0.42,4.761904761904766
1972-10-31,0.44,10.909090909090907
1972-11-30,0.488,1.2295081967213126
1972-12-31,0.494,1.6194331983805683
1973-01-31,0.502,-2.5896414342629503
1973-02-28,0.489,14.519427402863
1973-03-31,0.56,-6.785714285714291
1973-04-30,0.522,2.1072796934865705
1973-05-31,0.5329999999999999,-7.129455909943701
1973-06-30,0.495,-4.242424242424246
1973-07-31,0.474,-3.3755274261603407
1973-08-31,0.45799999999999996,2.620087336244544
1973-09-30,0.47,-3.829787234042545
1973-10-31,0.452,8.628318584070792
1973-11-30,0.491,0.2036659877800522
1973-12-31,0.49200000000000005,-13.821138211382126
1974-01-31,0.424,5.660377358490558
1974-02-28,0.44799999999999995,-0.22321428571427357
1974-03-31,0.447,5.145413870246077
1974-04-30,0.47,-8.085106382978708
1974-05-31,0.43200000000000005,2.777777777777767
1974-06-30,0.444,-20.4954954954955
1974-07-31,0.353,16.430594900849872
1974-08-31,0.41100000000000003,15.571776155717748
1974-09-30,0.475,-17.894736842105257
1974-10-31,0.39,-2.820512820512823
1974-11-30,0.379,9.498680738786273
1974-12-31,0.415,-19.51807228915663
1975-01-31,0.33399999999999996,-3.8922155688622624
1975-02-28,0.321,-6.542056074766362
1975-03-31,0.3,-6.000000000000005
1975-04-30,0.282,-0.3546099290779948
1975-05-31,0.281,-0.35587188612099674
1975-06-30,0.28,10.357142857142845
1975-07-31,0.309,-0.6472491909385119
1975-08-31,0.307,0.9771986970684049
1975-09-30,0.31,1.9354838709677438
1975-10-31,0.316,-8.860759493670876
1975-11-30,0.28800000000000003,-12.500000000000009
1975-12-31,0.252,19.84126984126984
1976-01-31,0.302,-1.9867549668874007
1976-02-29,0.29600000000000004,-1.013513513513533
1976-03-31,0.293,5.119453924914681
1976-04-30,0.308,2.922077922077925
1976-05-31,0.317,2.2082018927444813
1976-06-30,0.324,6.172839506172827
1976-07-31,0.344,4.360465116279074
1976-08-31,0.359,11.69916434540391
1976-09-30,0.401,-28.67830423940149
1976-10-31,0.28600000000000003,13.98601398601398
1976-11-30,0.326,1.226993865030676
1976-12-31,0.33,14.242424242424237
1977-01-31,0.377,-0.795755968169762
1977-02-28,0.374,3.743315508021379
1977-03-31,0.38799999999999996,-1.5463917525773068
1977-04-30,0.382,-0.7853403141361263
1977-05-31,0.379,0.5277044854881272
1977-06-30,0.381,-12.07349081364829
1977-07-31,0.335,10.746268656716412
1977-08-31,0.371,1.3477088948787075
1977-09-30,0.376,3.457446808510641
1977-10-31,0.389,3.5989717223650275
1977-11-30,0.40299999999999997,-4.218362282878402
1977-12-31,0.386,-4.145077720207258
1978-01-31,0.37,6.486486486486477
1978-02-28,0.39399999999999996,14.720812182741131
1978-03-31,0.452,-2.433628318584073
1978-04-30,0.441,6.122448979591829
1978-05-31,0.46799999999999997,2.5641025641025665
1978-06-30,0.48,-7.9166666666666625
1978-07-31,0.442,-16.5158371040724
1978-08-31,0.369,20.867208672086722
1978-09-30,0.446,1.7937219730941596
1978-10-31,0.45399999999999996,3.3039647577092546
1978-11-30,0.469,6.396588486140731
1978-12-31,0.499,-12.825651302605209
1979-01-31,0.435,6.896551724137938
1979-02-28,0.465,-6.236559139784951
1979-03-31,0.436,0.45871559633026293
1979-04-30,0.43799999999999994,-6.849315068493144
1979-05-31,0.408,-6.617647058823523
1979-06-30,0.381,4.986876640419951
1979-07-31,0.4,-13.750000000000012
1979-08-31,0.345,-1.7391304347826104
1979-09-30,0.33899999999999997,11.799410029498535
1979-10-31,0.379,-5.540897097625335
1979-11-30,0.358,-16.75977653631285
1979-12-31,0.298,8.724832214765108
1980-01-31,0.324,-4.629629629629633
1980-02-29,0.309,-9.385113268608404
1980-03-31,0.28,-12.142857142857142
1980-04-30,0.24600000000000002,-6.504065040650412
1980-05-31,0.23,16.521739130434785
1980-06-30,0.268,5.597014925373139
1980-07-31,0.28300000000000003,3.8869257950529867
1980-08-31,0.294,-1.3605442176870761
1980-09-30,0.29,-8.275862068965505
1980-10-31,0.266,-8.646616541353392
1980-11-30,0.243,-9.053497942386828
1980-12-31,0.221,11.312217194570145
1981-01-31,0.24600000000000002,-4.471544715447169
